ds_name,att_name,missing_values_pct,val_pct_min,val_pct_median,val_size_min,val_size_avg,val_pct_max,distinct_values_cnt,val_pct_std,distinct_values_pct,val_size_co_of_var,val_size_max,isEmpty,ds_name_2,att_name_2,isEmpty_2,name_dist
worldcitiespop.csv,City,1.374958089,9.61E-04,10.31755273,0,0.014868971,0.152167623,10.31755273,0.065712952,1.777140659,0.062619053,3.51E-04,0,ipums_la_98-small.csv,ind1950,0,1
worldcitiespop.csv,City,1.90863575,0.003848968,10.31807042,0.001812192,0.110649898,0.546098051,10.31807042,0.432190247,1.815864348,0.035383925,0.041221206,0,ipums_la_98-small.csv,chborn,0,1
worldcitiespop.csv,City,0.781311797,0.239737305,10.31811429,0.149807892,0.893275476,1.633802213,10.31811429,1.70957513,1.819146016,0.580340541,0.156008725,0,ipums_la_98-small.csv,empstatg,0,0.875
worldcitiespop.csv,City,0.056942522,3.138756836,10.31811868,1.968644835,1.737010539,1.944574831,10.31811868,0.546024242,1.819474183,1.022204004,0.188805159,0,ipums_la_98-small.csv,ownershg,0,1
worldcitiespop.csv,City,0.781311797,1.809116858,10.31811868,1.134432341,1.340232132,1.802968959,10.31811868,1.25592915,1.819474183,0.850123112,0.173861218,0,ipums_la_98-small.csv,workedyr,0,0.875
worldcitiespop.csv,City,1.705864124,0.147307589,10.31810552,0.09181774,0.333138113,0.79034442,10.31810552,0.818431865,1.818489682,0.431160387,0.066996997,0,ipums_la_98-small.csv,migrat5g,0,0.75
worldcitiespop.csv,City,1.705864124,9.61E-04,10.31791248,0,0.033420932,0.79034442,10.31791248,0.397898701,1.804050341,2.120885948,0.066996997,0,ipums_la_98-small.csv,migplac5,0,0.875
worldcitiespop.csv,City,6.10E-06,0.056803492,10.31811429,0.035035717,1.178590423,3.493686045,10.31811429,4.503438642,1.819146016,0.053248547,0.352285855,0,ipums_la_98-small.csv,gq,0,1
worldcitiespop.csv,City,0.13891403,0.298468687,10.31808797,0.186655801,0.375528362,0.824082732,10.31808797,0.598625028,1.817177015,0.669106231,0.070557466,0,ipums_la_98-small.csv,educrec,0,1
worldcitiespop.csv,City,2.292607552,0.115534874,10.31811429,0.071883625,0.341393498,0.856870669,10.31811429,1.003783094,1.819146016,0.297700259,0.07401764,0,ipums_la_98-small.csv,schltype,0,0.75
worldcitiespop.csv,City,6.10E-06,0.002886158,10.31809236,0.001208128,0.44157276,3.493686045,10.31809236,3.179938134,1.817505182,0.879019439,0.352285855,0,ipums_la_98-small.csv,gqtypeg,0,0.714285714
worldcitiespop.csv,City,6.10E-06,0.002886158,10.31811868,0.001208128,1.768204553,3.554985231,10.31811868,4.902467476,1.819474183,0.342824386,0.358754877,0,ipums_la_98-small.csv,farm,0,1
worldcitiespop.csv,City,0.781311797,1.912137479,10.31811868,1.199067198,1.340232132,1.752123898,10.31811868,1.115652465,1.819474183,0.879046336,0.168495441,0,ipums_la_98-small.csv,labforce,0,1
worldcitiespop.csv,City,1.373663802,9.61E-04,10.31733338,0,0.010593156,0.206814184,10.31733338,0.073780383,1.760732316,0.707296897,0.005415925,0,ipums_la_98-small.csv,occ1950,0,1
worldcitiespop.csv,City,1.792149922,0.137679494,10.31809236,0.085777099,0.196156217,0.831210545,10.31809236,0.669482293,1.817505182,0.168537018,0.071309678,0,ipums_la_98-small.csv,hrswork2,0,1
worldcitiespop.csv,City,2.218401765,0.117460494,10.31809674,0.073091754,0.157560376,0.261460745,10.31809674,0.191758012,1.817833349,0.773950442,0.011182882,0,ipums_la_98-small.csv,yrlastwk,0,0.875
worldcitiespop.csv,City,0.785194658,0.843418888,10.31811868,0.52855607,1.338105268,2.275305323,10.31811868,2.564959716,1.819474183,0.57937786,0.223707786,0,ipums_la_98-small.csv,vetstat,0,0.857142857
worldcitiespop.csv,City,1.792149922,9.61E-04,10.31808358,0,0.156797406,1.206608661,10.31808358,0.969724668,1.816848848,0.593850474,0.110926165,0,ipums_la_98-small.csv,tranwork,0,1
worldcitiespop.csv,City,1.373663802,0.336981069,10.31811868,0.210818364,1.015767122,1.877098208,10.31811868,2.360444174,1.819474183,0.467020086,0.181684221,0,ipums_la_98-small.csv,classwkg,0,1
worldcitiespop.csv,City,1.591966871,0.244551353,10.31810113,0.152828212,0.298304797,1.060250914,10.31810113,0.939219365,1.818161516,0.240460529,0.09548075,0,ipums_la_98-small.csv,wkswork2,0,1
