file1,att1,sizeDistinct1,file2,att2,sizeDistinct2,joinSize,containment1,containment2,jaccard,size1,size2,label
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input3,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input4,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input5,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input6,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input7,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input8,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input10,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input11,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input12,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input13,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input14,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input15,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input16,15,12,1,0.8,0.444444444,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input18,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input19,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input20,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input21,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input22,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input23,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input26,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input27,17,12,1,0.705882353,0.413793103,2017,5620,domain
dataSpotifyClass.csv,key,12,dataset_28_optdigits.csv,input28,17,12,1,0.705882353,0.413793103,2017,5620,domain
