ds_name,att_name,max_val,range_val,missing_values_pct,mean,std,min_val,distinct_values_cnt,co_of_var,distinct_values_pct,ds_name_2,att_name_2,name_dist,match
newton_hema.csv,cells_percentage,2.05E-05,3.40E-05,0,5.26E-05,6.86E-06,0.001840514,0.044910917,0.020568218,2.45385619,ipums_la_98-small.csv,age,0.8125,1
newton_hema.csv,cells_percentage,3.413332706,3.397931597,0,2.717720868,3.654566364,0.001840514,1.765897238,0.228915579,1.770017197,ipums_la_98-small.csv,incwage,0.75,0
newton_hema.csv,cells_percentage,4.10E-05,5.44E-05,0,0.000146,5.86E-05,0.001840514,0.028742987,0.114653423,2.460280564,ipums_la_98-small.csv,sei,0.875,1
newton_hema.csv,cells_percentage,0.002485117,0.002484089,0,0.004124113,0.002098112,0.001380385,0.12395413,0.018461977,2.190951635,cwurData.csv,citations,0.875,1
newton_hema.csv,cells_percentage,4.78E-05,6.12E-05,0,0.000164,1.87E-05,0.001840514,0.050300227,0.022373924,1.685917906,top10s.csv,val,0.9375,1
newton_hema.csv,cells_percentage,5.46E-05,6.46E-05,0,0.000145,7.35E-05,0.001380385,0.061078846,0.00520616,2.41405026,billboard_lyrics_1964-2015.csv,Rank,0.9375,1
newton_hema.csv,weeks,0.001109427,0.001104417,0,0.002757624,0.000977,0.00046,0.962890051,0.121468035,2.785960669,top10s.csv,id,1,0
newton_hema.csv,sample_size,0.001160632,0.001192771,0,0.003147559,0.001322962,0.005061413,0.903607641,0.010443475,0.993994685,cwurData.csv,alumni_employment,0.823529412,0
dataSpotifyClass.csv,liveness,7.48E-06,7.51E-06,0,1.11E-06,6.12E-06,1.67E-05,0.689732078,0.258729221,0.930166282,ipums_la_98-small.csv,stepmom,0.875,0
dataSpotifyClass.csv,liveness,7.48E-06,7.51E-06,0,8.66E-07,3.05E-06,1.67E-05,0.689732078,0.029870814,0.930166282,ipums_la_98-small.csv,poprule,1,0
dataSpotifyClass.csv,liveness,7.48E-06,6.27E-06,0,9.46E-06,1.33E-06,0.000873,0.688856783,0.017933717,0.929849661,ipums_la_98-small.csv,famunit,0.875,0
dataSpotifyClass.csv,liveness,2.52E-06,2.54E-06,0,5.41E-06,3.39E-06,1.67E-05,0.690607372,0.002968995,0.930482903,ipums_la_98-small.csv,ncouples,0.875,0
dataSpotifyClass.csv,liveness,8.38E-07,8.18E-07,0,1.06E-06,1.10E-06,1.42E-05,1.051228713,0.011066154,1.431050738,dataset_14_mfeat-fourier.csv,att31,1,0
dataSpotifyClass.csv,liveness,6.83E-07,6.64E-07,0,6.83E-07,8.99E-07,1.35E-05,1.051228713,0.010286101,1.431050738,dataset_14_mfeat-fourier.csv,att68,1,0
dataSpotifyClass.csv,liveness,6.56E-07,6.36E-07,0,7.81E-07,8.98E-07,1.47E-05,1.051228713,0.008982932,1.431050738,dataset_14_mfeat-fourier.csv,att19,1,0
dataSpotifyClass.csv,liveness,0.00062,0.000483,0,0.003145989,0.000603,0.098729694,0.428019018,0.02000588,0.57152309,dataset_12_mfeat-factors.csv,att73,1,0
dataSpotifyClass.csv,liveness,0.000983,0.000833,0,0.004763283,0.00117774,0.107625768,0.241581286,0.0179811,0.31912769,dataset_12_mfeat-factors.csv,att194,1,0
dataSpotifyClass.csv,liveness,2.61E-05,2.61E-05,0,9.84E-05,5.34E-05,1.67E-05,0.673976777,0.007048681,0.904495425,dataset_12_mfeat-factors.csv,att119,1,0
dataSpotifyClass.csv,liveness,2.11E-05,2.12E-05,0,0.000107,2.58E-05,1.67E-05,0.677477955,0.017905794,0.909235244,dataset_12_mfeat-factors.csv,att168,1,0
dataSpotifyClass.csv,liveness,0.000582,0.00051,0,0.003076623,6.00E-04,0.051580503,0.429769607,0.019882075,0.573893,dataset_12_mfeat-factors.csv,att25,1,0
dataSpotifyClass.csv,liveness,2.86E-05,2.86E-05,0,0.000119,4.88E-05,1.67E-05,0.672226188,0.011777139,0.902125515,dataset_12_mfeat-factors.csv,att94,1,0
dataSpotifyClass.csv,liveness,2.61E-05,2.61E-05,0,9.05E-05,4.60E-05,1.67E-05,0.674852071,0.008234996,0.90568038,dataset_12_mfeat-factors.csv,att154,1,0
dataSpotifyClass.csv,liveness,0.001295218,0.000647,0,0.009499215,0.001005574,0.465247935,0.334362505,0.023157268,0.444732913,dataset_12_mfeat-factors.csv,att125,1,0
dataSpotifyClass.csv,liveness,1.30E-05,2.51E-05,0,1.65E-05,3.07E-05,0.008631798,1.051228713,0.036439308,1.431050738,dataset_16_mfeat-karhunen.csv,att12,1,0
dataSpotifyClass.csv,liveness,2.84E-06,7.84E-06,0,1.35E-06,8.82E-06,0.003583071,1.051228713,0.083265276,1.431050738,dataset_16_mfeat-karhunen.csv,att53,1,0
