ds_name,att_name,missing_values_pct,val_pct_min,val_pct_median,val_size_min,val_size_avg,val_pct_max,distinct_values_cnt,val_pct_std,distinct_values_pct,val_size_co_of_var,val_size_max,ds_name_2,att_name_2,name_dist,match
worldcitiespop.csv,City,0.781311797,1.809116858,10.31811868,1.134432341,1.340232132,1.802968959,10.31811868,1.25592915,1.819474183,0.850123112,0.173861218,ipums_la_98-small.csv,workedyr,0.875,0
worldcitiespop.csv,City,1.705864124,0.000961,10.31791248,0,0.033420932,0.79034442,10.31791248,0.397898701,1.804050341,2.120885948,0.066996997,ipums_la_98-small.csv,migplac5,0.875,0
worldcitiespop.csv,City,6.1e-06,0.056803492,10.31811429,0.035035717,1.178590423,3.493686045,10.31811429,4.503438642,1.819146016,0.053248547,0.352285855,ipums_la_98-small.csv,gq,1,0
worldcitiespop.csv,City,2.218401765,0.117460494,10.31809674,0.073091754,0.157560376,0.261460745,10.31809674,0.191758012,1.817833349,0.773950442,0.011182882,ipums_la_98-small.csv,yrlastwk,0.875,0
worldcitiespop.csv,City,0.785194658,0.843418888,10.31811868,0.52855607,1.338105268,2.275305323,10.31811868,2.564959716,1.819474183,0.57937786,0.223707786,ipums_la_98-small.csv,vetstat,0.857142857,0
worldcitiespop.csv,City,1.373663802,0.336981069,10.31811868,0.210818364,1.015767122,1.877098208,10.31811868,2.360444174,1.819474183,0.467020086,0.181684221,ipums_la_98-small.csv,classwkg,1,0
worldcitiespop.csv,City,6.1e-06,0.000961,10.31764486,0,0.031522933,1.463209905,10.31764486,0.392234814,1.784032163,2.262816045,0.13800579,ipums_la_98-small.csv,bplg,1,0
worldcitiespop.csv,City,6.1e-06,1.681544594,10.31811429,0.012081282,0.013541259,1.817541376,10.31811429,1.236750001,1.738252887,0.819123286,0.014141582,dataset_34_postoperative-patient-data.csv,BP_STBL,1,1
worldcitiespop.csv,City,6.1e-06,0.08007139,10.31811429,0,0.013541259,3.279772477,10.31811429,4.092177772,1.738252887,0.149668607,0.012286126,dataset_34_postoperative-patient-data.csv,CORE_STBL,0.888888889,1
worldcitiespop.csv,City,6.1e-06,1.361249953,10.31811429,0.009665025,0.013541259,1.896580895,10.31811429,1.432693982,1.738252887,0.773184244,0.014041287,dataset_34_postoperative-patient-data.csv,L_SURF,1,1
worldcitiespop.csv,City,6.1e-06,1.040955312,10.31811429,0.007248769,0.013541259,2.29177849,10.31811429,2.175160683,1.738252887,0.59911302,0.013539812,dataset_34_postoperative-patient-data.csv,L_CORE,0.833333333,1
worldcitiespop.csv,City,6.1e-06,3.443165119,10.31811868,0.025370691,0.020630808,1.857061135,10.31811868,0.218056477,1.76554543,1.07499743,0.014091434,dataset_34_postoperative-patient-data.csv,L_O2,1,1
worldcitiespop.csv,City,6.1e-06,0.24021871,10.31811429,0.001208128,0.013541259,2.25225873,10.31811429,2.403632446,1.738252887,0.545547845,0.01358996,dataset_34_postoperative-patient-data.csv,L_BP,1,1
worldcitiespop.csv,City,6.1e-06,3.60331244,10.31811868,0.026578819,0.020630808,1.778021616,10.31811868,6.03e-06,1.76554543,1.109080582,0.014191729,dataset_34_postoperative-patient-data.csv,SURF_STBL,1,1
worldcitiespop.csv,City,0.001547413,0.001153379,10.29081737,0,0.000165,0.001343525,10.29081737,5.7e-05,0.631865531,1.078399445,0.016297922,netflix_titles.csv,description,0.818181818,0
worldcitiespop.csv,City,1.020655194,0.001153379,10.30364543,0,2.72e-05,0.009898958,10.30364543,0.001423539,0.519883295,0.56985828,0.01554571,netflix_titles.csv,director,0.75,0
worldcitiespop.csv,City,0.001029574,0.001153379,10.29104989,0,0.00016,0.001343525,10.29104989,0.000163,0.610989099,1.027432094,0.016297922,netflix_titles.csv,title,0.6,0
worldcitiespop.csv,City,0.006207967,0.001153379,10.31803093,0,0.133075346,1.152904702,10.31803093,0.835506721,1.811464828,0.330185316,0.084949785,netflix_titles.csv,rating,0.833333333,0
worldcitiespop.csv,City,0.24752109,0.001153379,10.31566187,0,0.004204584,1.154045426,10.31566187,0.147077597,1.598761556,5.88714579,0.08505008,netflix_titles.csv,country,0.714285714,0
worldcitiespop.csv,City,0.001029574,0.001153379,10.31777648,0,0.036192367,0.60535704,10.31777648,0.328519301,1.788618921,0.945517651,0.03680823,netflix_titles.csv,release_year,0.916666667,0
worldcitiespop.csv,City,6.1e-06,0.001153379,10.29076911,0,0.000165,0.000203,10.29076911,6.03e-06,0.636198375,1.109080582,0.016398217,netflix_titles.csv,show_id,1,0
worldcitiespop.csv,City,6.1e-06,0.003570674,10.30954616,0,0.00015,0.00492264,10.30954616,0.000868,0.56191178,0.975511056,0.016297922,dataSpotifyClass.csv,song_title,0.8,0
worldcitiespop.csv,City,6.1e-06,0.029292971,10.31704821,0,0.000165,0.014090888,10.31704821,6.03e-06,0.636198375,1.109080582,0.016398217,wikipedia-iso-country-codes.csv,English_short_name_lower_case,0.931034483,0
worldcitiespop.csv,City,6.1e-06,0.029292971,10.31704821,0,0.000165,0.014090888,10.31704821,6.03e-06,0.636198375,1.109080582,0.016398217,wikipedia-iso-country-codes.csv,Alpha-3_code,1,0
worldcitiespop.csv,City,6.1e-06,0.029292971,10.31704821,0,0.000165,0.014090888,10.31704821,6.03e-06,0.636198375,1.109080582,0.016398217,wikipedia-iso-country-codes.csv,ISO_3166-2,1,0
worldcitiespop.csv,City,6.1e-06,0.00105442,10.29970576,0,0.00013,0.016321135,10.29970576,0.002137681,0.30779547,0.405616933,0.014843646,movies.csv,writer,0.666666667,0
worldcitiespop.csv,City,6.1e-06,0.00105442,10.307142,0,0.000649,0.021536353,10.307142,0.005768983,0.918276038,0.021018006,0.014342171,movies.csv,star,1,0
worldcitiespop.csv,City,6.1e-06,0.00105442,10.31787738,0,0.055912714,2.540486419,10.31787738,0.924925442,1.799601082,3.011070703,0.227870025,movies.csv,country,0.714285714,0
